# r_bohr,V_hartree
1.530059880239520886e+01,3.191639168806112230e-04
1.533485029940119659e+01,3.415811611917111100e-04
1.536910179640718432e+01,3.642514635674010516e-04
1.540335329341317205e+01,3.871368093621949959e-04
1.543760479041916156e+01,4.102012002365487621e-04
1.547185628742514929e+01,4.334105664814551272e-04
1.550610778443113702e+01,4.567326838719393874e-04
1.554035928143712475e+01,4.801370947228322805e-04
1.557461077844311248e+01,5.035950328465364908e-04
1.560886227544910021e+01,5.270793521367838838e-04
1.564311377245508972e+01,5.505644585248872444e-04
1.567736526946107745e+01,5.740262450757072825e-04
1.571161676646706518e+01,5.974420300097523905e-04
1.574586826347305291e+01,6.207904974554431278e-04
1.578011976047904064e+01,6.440516407518754715e-04
1.581437125748502837e+01,6.672067081373975108e-04
1.584862275449101787e+01,6.902381506730754981e-04
1.588287425149700560e+01,7.131295722628211778e-04
1.591712574850299333e+01,7.358656816435744192e-04
1.595137724550898106e+01,7.584322462295993916e-04
1.598562874251496879e+01,7.808160477047606466e-04
1.601988023952095830e+01,8.030048392655977311e-04
1.605413173652694425e+01,8.249873044262052806e-04
1.608838323353293376e+01,8.467530173034627013e-04
1.612263473053891971e+01,8.682924043079235125e-04
1.615688622754490922e+01,8.895967071720280606e-04
1.619113772455089872e+01,9.106579472528597476e-04
1.622538922155688468e+01,9.314688910519644928e-04
1.625964071856287418e+01,9.520230168993736941e-04
1.629389221556886014e+01,9.723144827532502997e-04
1.632814371257484964e+01,9.923380950705167243e-04
1.636239520958083915e+01,1.012089278707214296e-03
1.639664670658682510e+01,1.031564047810628942e-03
1.643089820359281461e+01,1.050758977668008777e-03
1.646514970059880056e+01,1.069671177479275537e-03
1.649940119760479007e+01,1.088298264023532117e-03
1.653365269461077602e+01,1.106638336191140097e-03
1.656790419161676553e+01,1.124689950355137365e-03
1.660215568862275504e+01,1.142452096557334575e-03
1.663640718562874099e+01,1.159924175486032067e-03
1.667065868263473050e+01,1.177105976223564348e-03
1.670491017964071645e+01,1.193997654743105463e-03
1.673916167664670596e+01,1.210599713135266037e-03
1.677341317365269546e+01,1.226912979545887470e-03
1.680766467065868142e+01,1.242938588807356894e-03
1.684191616766467092e+01,1.258677963746470578e-03
1.687616766467065688e+01,1.274132797152516391e-03
1.691041916167664638e+01,1.289305034389896451e-03
1.694467065868263234e+01,1.304196856640037856e-03
1.697892215568862184e+01,1.318810664757888180e-03
1.701317365269461135e+01,1.333149063728598406e-03
1.704742514970059730e+01,1.347214847710439178e-03
1.708167664670658681e+01,1.361010985650255379e-03
1.711592814371257276e+01,1.374540607458043986e-03
1.715017964071856227e+01,1.387806990727530722e-03
1.718443113772455177e+01,1.400813547989774753e-03
1.721868263473053773e+01,1.413563814487101087e-03
1.725293413173652723e+01,1.426061436454777653e-03
1.728718562874251319e+01,1.438310159898039623e-03
1.732143712574850269e+01,1.450313819852239649e-03
1.735568862275448865e+01,1.462076330113976606e-03
1.738994011976047815e+01,1.473601673431264043e-03
1.742419161676646766e+01,1.484893892140843772e-03
1.745844311377245361e+01,1.495957079240936962e-03
1.749269461077844312e+01,1.506795369887801604e-03
1.752694610778442907e+01,1.517412933304566110e-03
1.756119760479041858e+01,1.527813965090987639e-03
1.759544910179640809e+01,1.538002679922801123e-03
1.762970059880239404e+01,1.547983304629531841e-03
1.766395209580838355e+01,1.557760071639696176e-03
1.769820359281436950e+01,1.567337212782454444e-03
1.773245508982035901e+01,1.576718953434923633e-03
1.776670658682634496e+01,1.585909507004431857e-03
1.780095808383233447e+01,1.594913069735183660e-03
1.783520958083832397e+01,1.603733815828881646e-03
1.786946107784430993e+01,1.612375892869034877e-03
1.790371257485029943e+01,1.620843417538788550e-03
1.793796407185628539e+01,1.629140471622262136e-03
1.797221556886227489e+01,1.637271098279557925e-03
1.800646706586826440e+01,1.645239298585701032e-03
1.804071856287425035e+01,1.653049028323984402e-03
1.807497005988023986e+01,1.660704195024314666e-03
1.810922155688622581e+01,1.668208655237319931e-03
1.814347305389221532e+01,1.675566212035176387e-03
1.817772455089820127e+01,1.682780612730232477e-03
1.821197604790419078e+01,1.689855546802734908e-03
1.824622754491018028e+01,1.696794644029081750e-03
1.828047904191616624e+01,1.703601472802249942e-03
1.831473053892215574e+01,1.710279538636199541e-03
1.834898203592814170e+01,1.716832282846231413e-03
1.838323353293413120e+01,1.723263081397494699e-03
1.841748502994012071e+01,1.729575243913967055e-03
1.845173652694610666e+01,1.735772012840472835e-03
1.848598802395209617e+01,1.741856562750450583e-03
1.852023952095808212e+01,1.747831999792379999e-03
1.855449101796407163e+01,1.753701361267973957e-03
1.858874251497005758e+01,1.759467615335403527e-03
1.862299401197604709e+01,1.765133660831044293e-03
1.865724550898203660e+01,1.770702327203375372e-03
1.869149700598802255e+01,1.776176374552888241e-03
1.872574850299401206e+01,1.781558493772018425e-03
1.875999999999999801e+01,1.786851306779303023e-03
1.879425149700598752e+01,1.792057366842159842e-03
1.882850299401197347e+01,1.797179158982837189e-03
1.886275449101796298e+01,1.802219100462298723e-03
1.889700598802395248e+01,1.807179541336941106e-03
1.893125748502993844e+01,1.812062765083252962e-03
1.896550898203592794e+01,1.816870989285675458e-03
1.899976047904191390e+01,1.821606366383093272e-03
1.903401197604790340e+01,1.826270984469569297e-03
1.906826347305389291e+01,1.830866868145072761e-03
1.910251497005987886e+01,1.835395979412145434e-03
1.913676646706586837e+01,1.839860218614579584e-03
1.917101796407185432e+01,1.844261425414349398e-03
1.920526946107784383e+01,1.848601379803203708e-03
1.923952095808382978e+01,1.852881803145444914e-03
1.927377245508981929e+01,1.857104359248608989e-03
1.930802395209580880e+01,1.861270655458857485e-03
1.934227544910179475e+01,1.865382243778078951e-03
1.937652694610778425e+01,1.869440621999798879e-03
1.941077844311377021e+01,1.873447234861148414e-03
1.944502994011975971e+01,1.877403475208273701e-03
1.947928143712574922e+01,1.881310685172681366e-03
1.951353293413173517e+01,1.885170157356159167e-03
1.954778443113772468e+01,1.888983136022014293e-03
1.958203592814371063e+01,1.892750818290492775e-03
1.961628742514970014e+01,1.896474355336370560e-03
1.965053892215568609e+01,1.900154853586793731e-03
1.968479041916167560e+01,1.903793375917577644e-03
1.971904191616766511e+01,1.907390942846256057e-03
1.975329341317365106e+01,1.910948533720290389e-03
1.978754491017964057e+01,1.914467087898935084e-03
1.982179640718562652e+01,1.917947505927349635e-03
1.985604790419161603e+01,1.921390650701649497e-03
1.989029940119760553e+01,1.924797348623659464e-03
1.992455089820359149e+01,1.928168390744232396e-03
1.995880239520958099e+01,1.931504533894070567e-03
1.999305389221556695e+01,1.934806501801063878e-03
2.002730538922155645e+01,1.938074986193241136e-03
2.006155688622754241e+01,1.941310647886497400e-03
2.009580838323353191e+01,1.944514117856334986e-03
2.013005988023952142e+01,1.947685998292916646e-03
2.016431137724550737e+01,1.950826863638802089e-03
2.019856287425149688e+01,1.953937261608792997e-03
2.023281437125748283e+01,1.957017714191372406e-03
2.026706586826347234e+01,1.960068718631287864e-03
2.030131736526946185e+01,1.963090748392865709e-03
2.033556886227544780e+01,1.966084254103715821e-03
2.036982035928143731e+01,1.969049664478519576e-03
2.040407185628742326e+01,1.971987387222639502e-03
2.043832335329341277e+01,1.974897809915353731e-03
2.047257485029939872e+01,1.977781300872531386e-03
2.050682634730538823e+01,1.980638209988629626e-03
2.054107784431137773e+01,1.983468869557915206e-03
2.057532934131736368e+01,1.986273595074859386e-03
2.060958083832335319e+01,1.989052686013685796e-03
2.064383233532933914e+01,1.991806426587074737e-03
2.067808383233532865e+01,1.994535086484075081e-03
2.071233532934131816e+01,1.997238921587284489e-03
2.074658682634730411e+01,1.999918174669401607e-03
2.078083832335329362e+01,2.002573076069264716e-03
2.081508982035927957e+01,2.005203844347524730e-03
